,x_value,y_value,z_value
0,-0.1,"[4800000000, 4802000000, 4804000000, 4806000000, 4808000000, 4810000000, 4812000000, 4814000000, 4816000000, 4818000000, 4820000000, 4822000000, 4824000000, 4826000000, 4828000000, 4830000000, 4832000000, 4834000000, 4836000000, 4838000000, 4840000000, 4842000000, 4844000000, 4846000000, 4848000000, 4850000000, 4852000000, 4854000000, 4856000000, 4858000000, 4860000000, 4862000000, 4864000000, 4866000000, 4868000000, 4870000000, 4872000000, 4874000000, 4876000000, 4878000000, 4880000000, 4882000000, 4884000000, 4886000000, 4888000000, 4890000000, 4892000000, 4894000000, 4896000000, 4898000000, 4900000000, 4902000000, 4904000000, 4906000000, 4908000000, 4910000000, 4912000000, 4914000000, 4916000000, 4918000000, 4920000000, 4922000000, 4924000000, 4926000000, 4928000000, 4930000000, 4932000000, 4934000000, 4936000000, 4938000000, 4940000000, 4942000000, 4944000000, 4946000000, 4948000000, 4950000000, 4952000000, 4954000000, 4956000000, 4958000000, 4960000000, 4962000000, 4964000000, 4966000000, 4968000000, 4970000000, 4972000000, 4974000000, 4976000000, 4978000000, 4980000000, 4982000000, 4984000000, 4986000000, 4988000000, 4990000000, 4992000000, 4994000000, 4996000000, 4998000000, 5000000000, 5002000000, 5004000000, 5006000000, 5008000000, 5010000000, 5012000000, 5014000000, 5016000000, 5018000000, 5020000000, 5022000000, 5024000000, 5026000000, 5028000000, 5030000000, 5032000000, 5034000000, 5036000000, 5038000000, 5040000000, 5042000000, 5044000000, 5046000000, 5048000000, 5050000000, 5052000000, 5054000000, 5056000000, 5058000000, 5060000000, 5062000000, 5064000000, 5066000000, 5068000000, 5070000000, 5072000000, 5074000000, 5076000000, 5078000000, 5080000000, 5082000000, 5084000000, 5086000000, 5088000000, 5090000000, 5092000000, 5094000000, 5096000000, 5098000000, 5100000000, 5102000000, 5104000000, 5106000000, 5108000000, 5110000000, 5112000000, 5114000000, 5116000000, 5118000000, 5120000000, 5122000000, 5124000000, 5126000000, 5128000000, 5130000000, 5132000000, 5134000000, 5136000000, 5138000000, 5140000000, 5142000000, 5144000000, 5146000000, 5148000000, 5150000000, 5152000000, 5154000000, 5156000000, 5158000000, 5160000000, 5162000000, 5164000000, 5166000000, 5168000000, 5170000000, 5172000000, 5174000000, 5176000000, 5178000000, 5180000000, 5182000000, 5184000000, 5186000000, 5188000000, 5190000000, 5192000000, 5194000000, 5196000000, 5198000000, 5200000000]","[-71.25855369034501, -71.27097808737842, -68.11721106020312, -69.18474311226441, -78.44652915306641, -75.54820777804483, -67.512492933985, -72.79209807466438, -72.47165771162679, -70.53206852217993, -70.57693835751658, -71.43426439418901, -70.75796333724388, -72.50299206240564, -68.83423585797105, -75.2014535196386, -69.31581904499961, -71.06717171120867, -69.21605288681857, -72.02275235220044, -71.17235988930376, -70.86648767583354, -72.44221068727623, -70.40674491296924, -71.69533950777333, -73.07088098340827, -73.91467091408592, -73.29382119673984, -72.3177891024661, -70.32557296806355, -71.75336850568829, -70.61151578394453, -73.92788675992367, -74.4426793548088, -71.51798613363867, -70.57023609642836, -70.80488874184148, -72.59215982974905, -70.1927323592386, -71.12017150961185, -72.34886026279992, -72.94959183508442, -70.72471268829396, -70.8086212202846, -73.85257445553214, -74.93028779313286, -71.92242488890186, -74.00413930602272, -79.24976895123635, -75.31884973621297, -70.22514960338913, -75.31204737762704, -76.39032744943583, -69.2228874224122, -71.58662045595597, -81.96316350927324, -78.77651946958335, -80.91346857697013, -77.68202013666547, -74.32225421736374, -85.79138731842419, -87.53090774109782, -74.56267435605345, -76.85941894177515, -75.6772416529749, -72.0055834416686, -73.89865428477839, -76.18685831363979, -73.93114949076866, -71.38433393786832, -71.09218470809307, -72.27584079615244, -72.45343273038033, -70.91140207049992, -73.09968858081929, -76.582123227063, -71.10230543209414, -70.76677366515126, -73.04024043212752, -71.9546410216652, -71.08538615195276, -74.7850534004146, -73.32511187634434, -69.26692488805736, -72.67282741813946, -73.91337164854127, -73.37233083646538, -70.38134625582626, -71.86023438491956, -74.8294583356212, -72.0754331210089, -71.81261484127633, -74.83871965137722, -71.80324884977918, -73.5596011088047, -72.4661847588675, -71.68681441399694, -72.13999212577791, -71.49746117182067, -69.24449305037824, -70.23192054280784, -72.92420855273564, -71.04506894315486, -71.6406079224859, -69.64124505580122, -72.94194720173998, -70.91729605556512, -73.22918200554403, -71.80720803293349, -71.12213712138882, -71.40001503635766, -73.84721574410125, -71.48771866398685, -70.83440353184317, -68.52532576273316, -73.31570362894686, -74.11618067712597, -71.98538723634582, -72.20529487836448, -76.95237429130626, -72.48186562515136, -70.35709841864663, -71.08966717916398, -76.19819098578911, -70.68412022581349, -69.53010965972935, -71.91264797228538, -73.7449241483286, -69.01064742815753, -71.88591463548359, -73.02142658387326, -72.93687426974087, -72.09386197863535, -73.65110807627089, -70.14353499354714, -71.99090062993936, -72.03130850455591, -71.51803105086682, -74.16138696590694, -73.04768760183727, -70.9451143497679, -72.29696291811845, -70.24178284853386, -70.53599331795007, -71.62086013941078, -69.1468172711598, -73.16001168870991, -73.71019103479826, -72.07271366567193, -73.07662240991624, -69.99893256552329, -70.83002745495504, -69.8775022301127, -71.05127785076894, -70.95253555074225, -74.84505495651278, -73.13918333383691, -72.68393089804258, -69.6310699192008, -72.82308361826196, -70.42972680313565, -78.70795318058148, -72.07211020934841, -75.05931332388435, -70.1027158083214, -70.31854662028097, -72.1216398885802, -73.8873125802965, -71.5323002990438, -73.53733778755603, -72.49056329965634, -71.25352448581988, -71.52289269210814, -69.86997218219253, -70.0342114538556, -73.17610325811356, -72.35701866696039, -69.35514776349773, -73.10658124308405, -69.59348829161969, -70.40963608109278, -70.06883424254154, -72.62403117002535, -74.54234701708464, -74.31197952238162, -72.502048756748, -71.17365563978494, -72.48703439377023, -70.50131404897292, -69.61552825333266, -70.37545365735012, -70.84432509416565, -71.68321680689148, -68.67603188142282, -68.87164689642715, -73.21475224149849, -70.21296112315616, -73.1499194038856, -71.8219064256551, -73.07523182023444, -73.44535050946023]"
1,-0.05,"[4800000000, 4802000000, 4804000000, 4806000000, 4808000000, 4810000000, 4812000000, 4814000000, 4816000000, 4818000000, 4820000000, 4822000000, 4824000000, 4826000000, 4828000000, 4830000000, 4832000000, 4834000000, 4836000000, 4838000000, 4840000000, 4842000000, 4844000000, 4846000000, 4848000000, 4850000000, 4852000000, 4854000000, 4856000000, 4858000000, 4860000000, 4862000000, 4864000000, 4866000000, 4868000000, 4870000000, 4872000000, 4874000000, 4876000000, 4878000000, 4880000000, 4882000000, 4884000000, 4886000000, 4888000000, 4890000000, 4892000000, 4894000000, 4896000000, 4898000000, 4900000000, 4902000000, 4904000000, 4906000000, 4908000000, 4910000000, 4912000000, 4914000000, 4916000000, 4918000000, 4920000000, 4922000000, 4924000000, 4926000000, 4928000000, 4930000000, 4932000000, 4934000000, 4936000000, 4938000000, 4940000000, 4942000000, 4944000000, 4946000000, 4948000000, 4950000000, 4952000000, 4954000000, 4956000000, 4958000000, 4960000000, 4962000000, 4964000000, 4966000000, 4968000000, 4970000000, 4972000000, 4974000000, 4976000000, 4978000000, 4980000000, 4982000000, 4984000000, 4986000000, 4988000000, 4990000000, 4992000000, 4994000000, 4996000000, 4998000000, 5000000000, 5002000000, 5004000000, 5006000000, 5008000000, 5010000000, 5012000000, 5014000000, 5016000000, 5018000000, 5020000000, 5022000000, 5024000000, 5026000000, 5028000000, 5030000000, 5032000000, 5034000000, 5036000000, 5038000000, 5040000000, 5042000000, 5044000000, 5046000000, 5048000000, 5050000000, 5052000000, 5054000000, 5056000000, 5058000000, 5060000000, 5062000000, 5064000000, 5066000000, 5068000000, 5070000000, 5072000000, 5074000000, 5076000000, 5078000000, 5080000000, 5082000000, 5084000000, 5086000000, 5088000000, 5090000000, 5092000000, 5094000000, 5096000000, 5098000000, 5100000000, 5102000000, 5104000000, 5106000000, 5108000000, 5110000000, 5112000000, 5114000000, 5116000000, 5118000000, 5120000000, 5122000000, 5124000000, 5126000000, 5128000000, 5130000000, 5132000000, 5134000000, 5136000000, 5138000000, 5140000000, 5142000000, 5144000000, 5146000000, 5148000000, 5150000000, 5152000000, 5154000000, 5156000000, 5158000000, 5160000000, 5162000000, 5164000000, 5166000000, 5168000000, 5170000000, 5172000000, 5174000000, 5176000000, 5178000000, 5180000000, 5182000000, 5184000000, 5186000000, 5188000000, 5190000000, 5192000000, 5194000000, 5196000000, 5198000000, 5200000000]","[-69.03779478513248, -72.34247190592133, -67.13746128976025, -66.46555450418406, -67.007791402721, -64.73125384602356, -64.50308405717715, -66.86422206444183, -64.2731610328305, -67.87182751024501, -65.06484965734103, -65.45803070207552, -66.62385312888871, -64.96660621333172, -66.74096367817148, -66.90374595962228, -65.45683246349218, -66.0644506882861, -64.73551626230116, -65.65879254978724, -65.85700413411121, -66.05517965320115, -64.72242029399057, -67.44177455931398, -66.98022297813542, -69.03253052666672, -70.99826336469562, -67.91121189626125, -67.56241130069257, -66.35545491992065, -64.96136208924557, -65.2526766812638, -65.09863301434221, -67.54060933121616, -65.04266637595269, -65.88121910180222, -65.37655382630236, -65.94889229112147, -67.26639621161031, -67.29215510204155, -67.49705889073608, -65.67007524770493, -66.0920081887685, -67.25074996032025, -65.11985400527539, -65.59062881520487, -65.56506901912435, -67.33450951237758, -65.38106531794513, -66.61038021395404, -67.75271615465539, -67.38804327645053, -65.61369900327269, -65.78423631082312, -66.69993738501009, -64.77843989763757, -65.6139064843079, -66.86880231321562, -66.71070949844176, -66.14841501036932, -65.76874895996501, -66.47254162421808, -67.66947210949024, -66.08262462109943, -72.29552923990829, -71.03111914317721, -66.74633525470404, -66.35682065151683, -66.02688824680463, -66.62717891569427, -66.16359399732947, -66.80533290848726, -66.65278919170434, -66.37135072286127, -69.04164104436668, -75.58660452819515, -75.52959183679323, -85.01043633500112, -83.74506298959999, -85.38246027096483, -88.022337521038, -84.78191275007846, -76.172748367628, -72.00558306236873, -70.20616826813108, -70.4846360221222, -69.14392834274979, -66.70500136111937, -66.10021028407432, -67.23090081323573, -67.05278537686564, -66.5009607865319, -64.9324954868552, -67.65987020333174, -67.69079181600237, -67.94545498053414, -65.4051079739642, -66.40163035040969, -66.95631455083954, -66.82260024884947, -65.45041310490046, -64.78978909409284, -67.6389412272062, -66.14394979095148, -66.60852167762653, -64.35365762025569, -67.81234597063334, -64.8146441609458, -66.50600024081811, -66.18568762920106, -67.84205885184686, -67.3541822976006, -65.79131480446014, -65.24420807790143, -65.32304903049031, -66.53675188975387, -68.03886605640838, -66.01798234399594, -65.22961107664148, -67.9443913180958, -66.01503921081571, -66.02867828775337, -67.09552547366074, -67.01024428626921, -67.9002544020155, -66.0271894555766, -65.60338682046424, -64.97539390801664, -67.03901657792456, -66.28298557056999, -66.19766364706337, -66.89586833311374, -66.31962176786445, -65.40850887304694, -66.88511711810806, -66.45131852030708, -67.30521006399654, -66.16553280810932, -67.86389884397306, -66.52624280928745, -64.52415895930264, -67.29786813694722, -66.86821944772642, -68.71729582978102, -65.91993875359277, -66.91575960602395, -66.98488403928275, -66.77644171250583, -67.71679424092619, -67.07561369459324, -66.31167667175417, -66.0354961519464, -66.42939389841747, -65.90228166015103, -66.20318659085969, -66.08914798826832, -67.07023064979722, -66.0886068512214, -67.57745438441079, -66.10151997360714, -66.31565107281902, -65.22241196491863, -64.84257690137612, -66.31482682650307, -66.97904730520716, -66.41583217365033, -69.4400380505938, -66.80423896632963, -65.8499764615859, -66.97667329658371, -64.68836179706456, -65.72852686348115, -67.33362343097981, -63.879679949010296, -65.9100723687159, -65.94024298661381, -65.60455913391121, -65.01827169616236, -67.51924990975, -66.44705119988832, -67.4602398617145, -66.9972786018976, -66.00071913736936, -65.09939211224076, -65.90673429830952, -66.54392245533933, -66.50995960634691, -65.66740405122799, -66.29366321363884, -67.04636485885062, -65.17161124511217, -67.52685159505297, -67.24304561361093, -67.36535883490467, -66.426937197111, -66.9319287374097, -64.92015611289395, -64.37092361104885, -66.73516770255908, -65.68073320494828, -65.19436884324163]"
2,0.0,"[4800000000, 4802000000, 4804000000, 4806000000, 4808000000, 4810000000, 4812000000, 4814000000, 4816000000, 4818000000, 4820000000, 4822000000, 4824000000, 4826000000, 4828000000, 4830000000, 4832000000, 4834000000, 4836000000, 4838000000, 4840000000, 4842000000, 4844000000, 4846000000, 4848000000, 4850000000, 4852000000, 4854000000, 4856000000, 4858000000, 4860000000, 4862000000, 4864000000, 4866000000, 4868000000, 4870000000, 4872000000, 4874000000, 4876000000, 4878000000, 4880000000, 4882000000, 4884000000, 4886000000, 4888000000, 4890000000, 4892000000, 4894000000, 4896000000, 4898000000, 4900000000, 4902000000, 4904000000, 4906000000, 4908000000, 4910000000, 4912000000, 4914000000, 4916000000, 4918000000, 4920000000, 4922000000, 4924000000, 4926000000, 4928000000, 4930000000, 4932000000, 4934000000, 4936000000, 4938000000, 4940000000, 4942000000, 4944000000, 4946000000, 4948000000, 4950000000, 4952000000, 4954000000, 4956000000, 4958000000, 4960000000, 4962000000, 4964000000, 4966000000, 4968000000, 4970000000, 4972000000, 4974000000, 4976000000, 4978000000, 4980000000, 4982000000, 4984000000, 4986000000, 4988000000, 4990000000, 4992000000, 4994000000, 4996000000, 4998000000, 5000000000, 5002000000, 5004000000, 5006000000, 5008000000, 5010000000, 5012000000, 5014000000, 5016000000, 5018000000, 5020000000, 5022000000, 5024000000, 5026000000, 5028000000, 5030000000, 5032000000, 5034000000, 5036000000, 5038000000, 5040000000, 5042000000, 5044000000, 5046000000, 5048000000, 5050000000, 5052000000, 5054000000, 5056000000, 5058000000, 5060000000, 5062000000, 5064000000, 5066000000, 5068000000, 5070000000, 5072000000, 5074000000, 5076000000, 5078000000, 5080000000, 5082000000, 5084000000, 5086000000, 5088000000, 5090000000, 5092000000, 5094000000, 5096000000, 5098000000, 5100000000, 5102000000, 5104000000, 5106000000, 5108000000, 5110000000, 5112000000, 5114000000, 5116000000, 5118000000, 5120000000, 5122000000, 5124000000, 5126000000, 5128000000, 5130000000, 5132000000, 5134000000, 5136000000, 5138000000, 5140000000, 5142000000, 5144000000, 5146000000, 5148000000, 5150000000, 5152000000, 5154000000, 5156000000, 5158000000, 5160000000, 5162000000, 5164000000, 5166000000, 5168000000, 5170000000, 5172000000, 5174000000, 5176000000, 5178000000, 5180000000, 5182000000, 5184000000, 5186000000, 5188000000, 5190000000, 5192000000, 5194000000, 5196000000, 5198000000, 5200000000]","[-67.7451708984803, -68.32808247445506, -67.34689460924523, -66.28999694811023, -67.20994714488063, -65.96404474270253, -67.09023958876843, -70.05746882341452, -68.56909835905807, -67.85160958977943, -67.2624032170317, -65.80609490689794, -69.46065672348462, -69.89874588723664, -67.45003723176096, -68.44242899196112, -70.09311952954697, -68.64678269195107, -71.02766909664571, -74.96623090414796, -69.46497695805053, -74.04076379211634, -75.47980883852864, -76.12469298803012, -70.83282186023219, -80.54117123754861, -68.21121281299037, -68.07205503275448, -68.27263602048541, -66.1370799157022, -67.50993367555017, -67.58191189349657, -66.77648848371251, -65.967487321154, -67.98710121727294, -70.83068784739962, -70.0352594188256, -79.19561462590232, -69.35001743399779, -70.79306292286002, -67.75632728212702, -68.86356306686237, -66.45456617864846, -68.49518125701982, -67.23950626070065, -67.59465177931398, -67.97000305196192, -66.75388067029256, -68.32552108082876, -70.72689220988909, -68.79806877326762, -68.48597270312196, -66.82770506237347, -67.39760706749831, -70.79123027734505, -67.22796377112705, -69.3311323773975, -70.10535190291714, -69.65858228253762, -74.4026852328211, -67.98263870271035, -68.90048930244649, -69.17786083142803, -67.84676940805393, -70.8275469655007, -68.18333411554664, -68.89877488281729, -68.30190704282943, -67.24542265949532, -70.68949535611664, -68.40274868974555, -74.0489340119211, -67.70925166162314, -68.17535880495727, -69.62117881803772, -70.87928899043246, -67.28808092837707, -68.36005593570634, -67.35715981265518, -67.58702298146076, -68.59343755028009, -69.69954959667433, -72.3522159639037, -71.61393677252329, -74.12618368885357, -70.47238701394447, -66.94927056960432, -72.77696148257591, -71.63166129634719, -73.77985133254961, -72.76169197576019, -73.088258838162, -82.96199237858902, -77.80297544592213, -72.58265107280708, -73.82906400939392, -70.47084360338698, -68.05746557926783, -71.53948715003449, -69.93634850652181, -71.8455484997053, -70.0357855125576, -68.646250194705, -68.05925267404328, -68.17000500006061, -67.54629485246238, -68.96615770917117, -69.15178464576127, -68.07809255634412, -65.42400587246503, -68.09834110485343, -66.17687545181698, -67.79793429312303, -66.31653782013242, -68.97994134056557, -69.81833617729711, -66.17137794721502, -67.28750330659258, -68.46409205196937, -68.1204396051414, -68.09600434710984, -68.26715058243876, -67.73088133589427, -65.60983997181941, -67.92638465480937, -67.73375038757644, -68.88758437528202, -68.89780488949623, -68.29626516808983, -67.34753863311472, -67.88044292640326, -66.04014868191791, -67.3588763560535, -67.43149598965282, -69.15659930660482, -67.6962654931175, -68.68583751107151, -67.33190177520738, -67.35203385527713, -67.91306271125366, -68.49173113074107, -67.79273769955772, -69.03845946241563, -66.33964584561018, -66.2772969285295, -68.69142585241238, -68.7558069731046, -67.62655801204957, -70.62818811177597, -70.95470846891004, -69.94151618758835, -66.05227789369088, -67.65831737573664, -69.36401077611875, -67.0105717693724, -68.58731379598359, -66.51462820649493, -69.08475529482658, -66.61777721308239, -69.56881249840286, -71.87108548835141, -67.7654286930097, -72.37978056467834, -66.117079372995, -71.03409644129016, -65.43228316769815, -67.19544585797264, -67.98400878722536, -67.59096178898004, -70.30464199050355, -68.81725338141005, -65.66865979503201, -66.82274006766171, -67.15317161260042, -67.58134479960583, -66.30117541740697, -67.96135144503513, -67.53911320493908, -67.9659644029659, -66.12784331785059, -68.97920331868487, -66.71086273119911, -67.84422253616587, -67.00076494518301, -69.18826177443688, -68.61501390055804, -68.78832280692652, -67.43209634409071, -70.41221787889708, -67.06992601426009, -69.6142634300829, -68.9192404267094, -67.11478359314701, -68.04944833991816, -67.14962159717219, -67.85190054090225, -68.74808638851634, -68.71294134822953, -68.29094628270595, -67.84821360124099, -68.58653013689833]"
3,0.05,"[4800000000, 4802000000, 4804000000, 4806000000, 4808000000, 4810000000, 4812000000, 4814000000, 4816000000, 4818000000, 4820000000, 4822000000, 4824000000, 4826000000, 4828000000, 4830000000, 4832000000, 4834000000, 4836000000, 4838000000, 4840000000, 4842000000, 4844000000, 4846000000, 4848000000, 4850000000, 4852000000, 4854000000, 4856000000, 4858000000, 4860000000, 4862000000, 4864000000, 4866000000, 4868000000, 4870000000, 4872000000, 4874000000, 4876000000, 4878000000, 4880000000, 4882000000, 4884000000, 4886000000, 4888000000, 4890000000, 4892000000, 4894000000, 4896000000, 4898000000, 4900000000, 4902000000, 4904000000, 4906000000, 4908000000, 4910000000, 4912000000, 4914000000, 4916000000, 4918000000, 4920000000, 4922000000, 4924000000, 4926000000, 4928000000, 4930000000, 4932000000, 4934000000, 4936000000, 4938000000, 4940000000, 4942000000, 4944000000, 4946000000, 4948000000, 4950000000, 4952000000, 4954000000, 4956000000, 4958000000, 4960000000, 4962000000, 4964000000, 4966000000, 4968000000, 4970000000, 4972000000, 4974000000, 4976000000, 4978000000, 4980000000, 4982000000, 4984000000, 4986000000, 4988000000, 4990000000, 4992000000, 4994000000, 4996000000, 4998000000, 5000000000, 5002000000, 5004000000, 5006000000, 5008000000, 5010000000, 5012000000, 5014000000, 5016000000, 5018000000, 5020000000, 5022000000, 5024000000, 5026000000, 5028000000, 5030000000, 5032000000, 5034000000, 5036000000, 5038000000, 5040000000, 5042000000, 5044000000, 5046000000, 5048000000, 5050000000, 5052000000, 5054000000, 5056000000, 5058000000, 5060000000, 5062000000, 5064000000, 5066000000, 5068000000, 5070000000, 5072000000, 5074000000, 5076000000, 5078000000, 5080000000, 5082000000, 5084000000, 5086000000, 5088000000, 5090000000, 5092000000, 5094000000, 5096000000, 5098000000, 5100000000, 5102000000, 5104000000, 5106000000, 5108000000, 5110000000, 5112000000, 5114000000, 5116000000, 5118000000, 5120000000, 5122000000, 5124000000, 5126000000, 5128000000, 5130000000, 5132000000, 5134000000, 5136000000, 5138000000, 5140000000, 5142000000, 5144000000, 5146000000, 5148000000, 5150000000, 5152000000, 5154000000, 5156000000, 5158000000, 5160000000, 5162000000, 5164000000, 5166000000, 5168000000, 5170000000, 5172000000, 5174000000, 5176000000, 5178000000, 5180000000, 5182000000, 5184000000, 5186000000, 5188000000, 5190000000, 5192000000, 5194000000, 5196000000, 5198000000, 5200000000]","[-68.55186440227816, -68.5140149687103, -69.82263795347015, -68.64903612825258, -70.06822952335837, -68.90333553919389, -70.45697244256291, -69.15379441548136, -68.88467849961819, -67.55260097713764, -65.9752360663028, -68.94656737531528, -69.17992484640456, -68.91160211168015, -65.96137052792395, -69.14135028219332, -70.32033584115074, -70.75976287591976, -72.80516540730902, -70.14042559688163, -73.64212017333674, -75.02334384820931, -73.54959766602227, -74.26740916506643, -75.57849955161376, -72.9587250983534, -70.19321272945844, -72.30780903823043, -68.2104192339205, -67.43152513385647, -71.40406618504711, -70.56658114231706, -68.30286307668196, -67.50959640875274, -68.6897311206791, -71.13848007041499, -73.63906133125248, -73.06362503321643, -69.25129777771959, -68.38434102326295, -67.32730433043818, -68.74740531040833, -66.02755857351382, -70.24010011627313, -68.28959176197769, -68.47814203426063, -68.27466150812671, -67.1034696234056, -71.37094687713484, -68.21432833062686, -67.05856724272903, -67.12964014390226, -68.75827673455862, -72.91244600763044, -67.85310270571688, -71.12135829862683, -68.39098866922177, -72.63656358935198, -70.32356626205522, -72.42635246430905, -68.85033641596587, -67.81820171652545, -68.35238000359331, -68.70271372798736, -69.30404127893905, -68.81814602967302, -69.27997055891143, -69.42445126932205, -66.81793815358047, -73.06414552362763, -74.39752891519062, -72.88417230250477, -68.6743371282876, -68.24732660587114, -70.51269618788388, -69.17779833219677, -67.28596155382655, -67.61937922290086, -70.5468930139221, -71.65917885283093, -72.13009192642923, -69.05172407745806, -71.94669485714942, -73.67292120299723, -71.84141096317506, -72.92428129871223, -66.89456095744472, -67.7535824985715, -70.8028823066248, -69.17411043849515, -79.35652485750258, -80.54247306547809, -101.01404463741382, -78.95380708494625, -77.11643000484456, -74.24438994842797, -69.0227843941302, -71.77531530511116, -70.34106147472262, -71.34637946506574, -72.14548277996079, -70.19633985421703, -69.33387777671487, -68.01360984366313, -69.15132833045394, -67.70373191734788, -70.51034558027618, -68.49028030413373, -72.10443759522698, -68.57228424029239, -69.43689423590173, -68.27017807369977, -66.72782168131087, -66.71478312001953, -68.94026200711222, -66.41683335829042, -68.51927645076606, -68.93767081249887, -67.86405084741803, -72.70501378893067, -69.10760154850979, -67.61702145204193, -66.47543902657512, -71.61718539384408, -69.40423446521731, -68.74599211313726, -70.75847258737335, -69.814768658596, -68.2424850866431, -68.9384694780313, -68.39555066499868, -68.3236702237526, -69.83625113144923, -68.92056655737298, -70.00881856639285, -69.25854018778882, -69.73724561745988, -69.55005245113855, -67.8293774856739, -68.41028867775309, -69.28250219954101, -67.89579215424742, -70.03145497152487, -70.59571918354608, -67.27497648018743, -71.92893407217623, -68.81843725842236, -68.83307749514685, -68.81932306514962, -69.7029228604717, -68.38780042070995, -71.60863909740023, -69.39006827037626, -68.55810655363973, -69.57266566508002, -70.46615253503448, -68.61399867263667, -69.50514505773843, -70.00690857380968, -67.94720467107055, -67.7806199610953, -67.44704530740688, -70.46381255046155, -68.9380093416928, -69.62656943935228, -68.13840299374735, -67.62264955517253, -71.08199200854449, -71.10916034082523, -68.49079118318676, -68.29556705093086, -67.92428863612878, -67.50197073661042, -67.7903011179114, -68.29904014610095, -70.81218453368085, -69.49991872189823, -67.81280434626316, -69.62688667149008, -69.66972323845587, -69.48858040842896, -69.40775318725392, -68.19250780043694, -68.285215534983, -69.03552434425441, -67.65985034847898, -68.3074847918348, -69.82592695161807, -68.852152497982, -68.51715176324551, -68.85067073224909, -68.71962116109829, -69.15090537132954, -68.6946703284541, -67.55498678245826, -67.08796293971557, -69.64891564648558, -68.0288262249107, -68.1104351619682, -69.50900281174663, -68.23320126735629]"
