,x_value,y_value,z_value
0,-0.1,4800000000.0,-71.91023745340033
1,-0.1,4800666666.7,-78.2765995312247
2,-0.1,4801333333.3,-78.07391431969077
3,-0.1,4802000000.0,-73.40972708329636
4,-0.1,4802666666.7,-70.34690402381577
5,-0.1,4803333333.3,-70.33405613823659
6,-0.1,4804000000.0,-67.20309728593192
7,-0.1,4804666666.7,-67.76394716817575
8,-0.1,4805333333.3,-65.60250315310783
9,-0.1,4806000000.0,-69.40253787619292
10,-0.1,4806666666.7,-66.00296716831588
11,-0.1,4807333333.3,-69.89565648889702
12,-0.1,4808000000.0,-77.60683530317631
13,-0.1,4808666666.7,-72.09889706715101
14,-0.1,4809333333.3,-79.02530325043651
15,-0.1,4810000000.0,-72.12803807510652
16,-0.1,4810666666.7,-73.48678843297273
17,-0.1,4811333333.3,-75.34630231742531
18,-0.1,4812000000.0,-70.53866368240801
19,-0.1,4812666666.7,-69.70442782594164
20,-0.1,4813333333.3,-77.1256691156235
21,-0.1,4814000000.0,-73.17109161685971
22,-0.1,4814666666.7,-75.73705364430128
23,-0.1,4815333333.3,-72.10554726700943
24,-0.1,4816000000.0,-70.81360692244975
25,-0.1,4816666666.7,-72.4216118293665
26,-0.1,4817333333.3,-73.41023192151708
27,-0.1,4818000000.0,-72.57895525248068
28,-0.1,4818666666.7,-72.89582959173316
29,-0.1,4819333333.3,-72.56819499639545
30,-0.1,4820000000.0,-73.35213430755184
31,-0.1,4820666666.7,-74.32317989186181
32,-0.1,4821333333.3,-70.8088967922495
33,-0.1,4822000000.0,-76.16799499322644
34,-0.1,4822666666.7,-79.2568493152061
35,-0.1,4823333333.3,-76.33675461822672
36,-0.1,4824000000.0,-71.67265633424081
37,-0.1,4824666666.7,-71.87908967905587
38,-0.1,4825333333.3,-72.82122807614567
39,-0.1,4826000000.0,-71.77516415446414
40,-0.1,4826666666.7,-74.86601217120408
41,-0.1,4827333333.3,-70.99394560965213
42,-0.1,4828000000.0,-73.99466053313984
43,-0.1,4828666666.7,-72.24315723698724
44,-0.1,4829333333.3,-71.26322202947712
45,-0.1,4830000000.0,-73.3638534928857
46,-0.1,4830666666.7,-74.61476642827142
47,-0.1,4831333333.3,-71.68742570856818
48,-0.1,4832000000.0,-76.63531548614922
49,-0.1,4832666666.7,-73.16163761952801
50,-0.1,4833333333.3,-71.69457130234593
51,-0.1,4834000000.0,-71.19596344394922
52,-0.1,4834666666.7,-73.41965630305086
53,-0.1,4835333333.3,-76.18508073947605
54,-0.1,4836000000.0,-72.14062724723901
55,-0.1,4836666666.7,-73.75942526518234
56,-0.1,4837333333.3,-75.66039180388289
57,-0.1,4838000000.0,-72.7160982289811
58,-0.1,4838666666.7,-72.08515837714862
59,-0.1,4839333333.3,-72.49852666043631
60,-0.1,4840000000.0,-70.7281972039476
61,-0.1,4840666666.7,-72.82548779934461
62,-0.1,4841333333.3,-77.12139906264815
63,-0.1,4842000000.0,-71.7304019851727
64,-0.1,4842666666.7,-73.08204118013337
65,-0.1,4843333333.3,-69.96565214233418
66,-0.1,4844000000.0,-71.66178039467779
67,-0.1,4844666666.7,-75.55073260802678
68,-0.1,4845333333.3,-72.73384835368577
69,-0.1,4846000000.0,-72.85886508125432
70,-0.1,4846666666.7,-73.02563814330863
71,-0.1,4847333333.3,-70.35372285315039
72,-0.1,4848000000.0,-73.63527850293994
73,-0.1,4848666666.7,-73.50161304169946
74,-0.1,4849333333.3,-73.07980790352315
75,-0.1,4850000000.0,-69.67565226382638
76,-0.1,4850666666.7,-71.33782791110241
77,-0.1,4851333333.3,-74.71889409317451
78,-0.1,4852000000.0,-74.01511326996098
79,-0.1,4852666666.7,-76.21962833792189
80,-0.1,4853333333.3,-75.4499501171466
81,-0.1,4854000000.0,-74.63155973623297
82,-0.1,4854666666.7,-71.70175037851322
83,-0.1,4855333333.3,-71.80459041845297
84,-0.1,4856000000.0,-73.98500037115616
85,-0.1,4856666666.7,-73.0454923013968
86,-0.1,4857333333.3,-72.1080597912042
87,-0.1,4858000000.0,-72.55491487281107
88,-0.1,4858666666.7,-76.30580078268697
89,-0.1,4859333333.3,-74.85859338956195
90,-0.1,4860000000.0,-70.77359719673888
91,-0.1,4860666666.7,-79.73322808284213
92,-0.1,4861333333.3,-76.22412332178126
93,-0.1,4862000000.0,-73.71058148836607
94,-0.1,4862666666.7,-70.80386005162254
95,-0.1,4863333333.3,-77.39569288665587
96,-0.1,4864000000.0,-72.16624080455465
97,-0.1,4864666666.7,-73.56230598074775
98,-0.1,4865333333.3,-72.53517828161517
99,-0.1,4866000000.0,-75.52852420845086
100,-0.1,4866666666.7,-71.57072772919072
101,-0.1,4867333333.3,-72.62139232482839
102,-0.1,4868000000.0,-70.60333657738694
103,-0.1,4868666666.7,-72.32909047236961
104,-0.1,4869333333.3,-73.9715383555527
105,-0.1,4870000000.0,-70.05160295577829
106,-0.1,4870666666.7,-73.55430734597216
107,-0.1,4871333333.3,-74.39064882029398
108,-0.1,4872000000.0,-76.807778332295
109,-0.1,4872666666.7,-77.89081867684996
110,-0.1,4873333333.3,-72.33190695819212
111,-0.1,4874000000.0,-70.11343373450939
112,-0.1,4874666666.7,-73.42117818220872
113,-0.1,4875333333.3,-72.56529572905818
114,-0.1,4876000000.0,-73.79300287805819
115,-0.1,4876666666.7,-76.19020103018764
116,-0.1,4877333333.3,-73.92437139122528
117,-0.1,4878000000.0,-70.14954861202048
118,-0.1,4878666666.7,-71.65624681386366
119,-0.1,4879333333.3,-74.36295691384991
120,-0.1,4880000000.0,-75.11813713803383
121,-0.1,4880666666.7,-72.02705659948033
122,-0.1,4881333333.3,-72.03054948484754
123,-0.1,4882000000.0,-71.57308181414837
124,-0.1,4882666666.7,-73.68419803636246
125,-0.1,4883333333.3,-74.87328691416877
126,-0.1,4884000000.0,-72.8202894339594
127,-0.1,4884666666.7,-70.94806254341923
128,-0.1,4885333333.3,-71.86318747178079
129,-0.1,4886000000.0,-75.44234269866767
130,-0.1,4886666666.7,-75.99541958728778
131,-0.1,4887333333.3,-75.25584831962824
132,-0.1,4888000000.0,-72.01913070170191
133,-0.1,4888666666.7,-76.69916334351812
134,-0.1,4889333333.3,-72.96117208046402
135,-0.1,4890000000.0,-76.60630601769896
